Intro;What HCI is about;-
Intro;What concerns HCI originally did have and how have they evolved;-
Intro;Why HCI matters?;-
Intro;What makes HCI increasingly important?;-
Intro;What is HCI concerned about?;-
Intro;What are the essential activities of HCI?;-
Intro;How is HCI applied in practice?;-
HTML & CSS;Why the Web is a powerful platform for developing user interfaces;-
HTML & CSS;What developing UIs is about and how it is different from traditional algorithmic programming;-
HTML & CSS;What HTML is;-
HTML & CSS;How a tag is written including attributes;-
HTML & CSS;The difference between an inline and block tag;-
HTML & CSS;What CSS is;-
HTML & CSS;That a CSS rule consist of a selector and one or more declarations;-
HTML & CSS;That there are different types of selectors (type, class, id, child, ancestor) and what they do;-
HTML & CSS;How to express colors in CSS;-
HTML & CSS;Understand the box model of CSS and how to define margin, padding, and border on elements;-
HTML & CSS;How rules in CSS cascade;-
HTML & CSS;How CSS is integrated with HTML;-
User Interfaces: Devices;Difference between input devices (e.g., direct vs. indirect control);-
User Interfaces: Devices;What degrees of freedom, controller resistance, and order of control means;-
User Interfaces: Devices;How to compare input devices using the design space of input devices.;-
User Interfaces: Devices;What control-display gain is.;-
User Interfaces: Devices;What a transfer function is and how it is used.;-
User Interfaces: Devices;Differences between display types;-
JavaScript;How data is represented in JavaScript;-
JavaScript;What the basic operators on numbers, strings, and booleans are;-
JavaScript;How to define variables and constants;-
JavaScript;What a statement vs. an expression is;-
JavaScript;How to write conditional statements (ifs) in JavaScript;-
JavaScript;How to write loops (while, for, and for of);-
JavaScript;How to define arrays and their basic properties and methods;-
JavaScript;How to iterate over arrays;-
JavaScript;What a function is and different ways to define it;-
JavaScript;How scoping works in JavaScript;-
JavaScript;How to create and manipulate objects in JavaScript;-
JavaScript;How to define objects with object literal notation vs. a constructor function;-
JavaScript;How to use the class syntax;-
User Interfaces: GUIs;What’s a command-line interface and its tradeoffs?;-
User Interfaces: GUIs;What’s direct manipulation and its tradeoffs?;-
User Interfaces: GUIs;What translational distance means;-
User Interfaces: GUIs;The difference between interaction tasks and interaction techniques;-
User Interfaces: GUIs;What basic interaction tasks are;-
User Interfaces: GUIs;What’s the consideration when designing interaction techniques?;-
User Interfaces: GUIs;What’s the considerations when evaluating interaction techniques?;-
DOM & Events;What the DOM is;-
DOM & Events;How the DOM is structured;-
DOM & Events;The terminology of the DOM (types of nodes, their family relationships);-
DOM & Events;How to work with the DOM from JavaScript;-
DOM & Events;How to query nodes;-
DOM & Events;How to traverse the DOM;-
DOM & Events;How to insert, modify, and delete elements in the DOM;-
DOM & Events;How to set attributes on elements including classes with classList and styles with style;-
DOM & Events;What types of events you can react to in the browser;-
DOM & Events;The three steps involved in handling an event;-
DOM & Events;How the event flow in JS works and the difference between the capturing and bubbling phase;-
DOM & Events;How to use event listeners;-
DOM & Events;What the event object is an what it is used for;-
DOM & Events;How to change the event flow (preventing default behaviour and stopping propagation);-
DOM & Events;What event delegation is and how to implement it;-
GUI Design Principles;What are guidelines and how can they help us design user interfaces?;-
GUI Design Principles;Shneiderman’s three high-level design principles;-
GUI Design Principles;The eight golden rules of interface design;-
GUI Design Principles;What an error is, and what different types of errors there are;-
GUI Design Principles;What Don Norman’s principles are;-
GUI Design Principles;What’s the relationship between guidelines, principles, and theories in HCI?;-
GUI Design Principles;What different types of theories are there?;-
GUI Design Principles;The difference between micro- and macro-HCI theories;-
GUI design in praxis;What mental models are and their role in UI design;-
GUI design in praxis;How mental models are related to metaphors and conceptual blends;-
GUI design in praxis;That the grid layout is the premier structuring mechanism for visual organisation;-
GUI design in praxis;The five visual design principles (from NN/g);-
GUI design in praxis;Familiarity with the tips and rules for visual design presented at the lecture;-
Responsive Web;The challenges involved in adapting a user-interface to different types of devices with different display sizes and input modalities;-
Responsive Web;What responsive web design is and the techniques that compromise it;-
Responsive Web;How to do media queries;-
Responsive Web;The different techniques available in CSS to do fluid grids;-
Responsive Web;How to do fluid images;-
Evaluating user interfaces 1: Analytical;Why evaluate user interfaces?;-
Evaluating user interfaces 1: Analytical;What are the goals of evaluating a user interface?;-
Evaluating user interfaces 1: Analytical;The difference between formative and summative evaluation.;-
Evaluating user interfaces 1: Analytical;The difference between qualitative and quantitative methods for evaluation.;-
Evaluating user interfaces 1: Analytical;The difference between analytical and empirical evaluation.;-
Evaluating user interfaces 1: Analytical;What’s a heuristic evaluation and how to do it.;-
Evaluating user interfaces 1: Analytical;What’s a cognitive walkthrough and how to do it.;-
Evaluating user interfaces 1: Analytical;What’s key-stroke level analysis, and what can it be used for?;-
Evaluating user interfaces 1: Analytical;What’s a think-aloud study, how is it done, and what can it be used for?;-
CSS Frameworks;Be able to explain what a CSS framework is and what it is used for;-
CSS Frameworks;Be able to argue for the pros and cons of using a CSS framework;-
Evaluating User Interfaces 2: Empirical;What’s an experiment in HCI and when is it used?;-
